crudeoil,cases,vaccines,holidays,crudeoil_one,cases_one,vaccines_one,holidays_one,crudeoil_two,cases_two,vaccines_two,holidays_two,crudeoil_three,cases_three,vaccines_three,holidays_three,crudeoil_four,cases_four,vaccines_four,holidays_four,crudeoil_five,cases_five,vaccines_five,holidays_five
60.6400,28773147.0000,2013281.0000,0,61.5000,28600725.0000,3094998.0000,0,63.5300,28521990.0000,2926432.0000,0,63.2200,28443933.0000,2519517.0000,0,61.6700,28368921.0000,1937265.0000,0,61.4900,28296905.0000,1458202.0000,0
59.7500,28830214.0000,2451004.0000,0,60.6400,28773147.0000,2013281.0000,0,61.5000,28600725.0000,3094998.0000,0,63.5300,28521990.0000,2926432.0000,0,63.2200,28443933.0000,2519517.0000,0,61.6700,28368921.0000,1937265.0000,0
61.2800,28897363.0000,2892368.0000,0,59.7500,28830214.0000,2451004.0000,0,60.6400,28773147.0000,2013281.0000,0,61.5000,28600725.0000,3094998.0000,0,63.5300,28521990.0000,2926432.0000,0,63.2200,28443933.0000,2519517.0000,0
63.8300,28965895.0000,3188448.0000,0,61.2800,28897363.0000,2892368.0000,0,59.7500,28830214.0000,2451004.0000,0,60.6400,28773147.0000,2013281.0000,0,61.5000,28600725.0000,3094998.0000,0,63.5300,28521990.0000,2926432.0000,0
66.0900,29032760.0000,3213408.0000,0,63.8300,28965895.0000,3188448.0000,0,61.2800,28897363.0000,2892368.0000,0,59.7500,28830214.0000,2451004.0000,0,60.6400,28773147.0000,2013281.0000,0,61.5000,28600725.0000,3094998.0000,0
65.0500,29178433.0000,2152945.0000,0,66.0900,29032760.0000,3213408.0000,0,63.8300,28965895.0000,3188448.0000,0,61.2800,28897363.0000,2892368.0000,0,59.7500,28830214.0000,2451004.0000,0,60.6400,28773147.0000,2013281.0000,0
64.0100,29234239.0000,2699123.0000,0,65.0500,29178433.0000,2152945.0000,0,66.0900,29032760.0000,3213408.0000,0,63.8300,28965895.0000,3188448.0000,0,61.2800,28897363.0000,2892368.0000,0,59.7500,28830214.0000,2451004.0000,0
64.4400,29292470.0000,3116557.0000,0,64.0100,29234239.0000,2699123.0000,0,65.0500,29178433.0000,2152945.0000,0,66.0900,29032760.0000,3213408.0000,0,63.8300,28965895.0000,3188448.0000,0,61.2800,28897363.0000,2892368.0000,0
66.0200,29355361.0000,3430196.0000,0,64.4400,29292470.0000,3116557.0000,0,64.0100,29234239.0000,2699123.0000,0,65.0500,29178433.0000,2152945.0000,0,66.0900,29032760.0000,3213408.0000,0,63.8300,28965895.0000,3188448.0000,0
65.6100,29417434.0000,3413197.0000,0,66.0200,29355361.0000,3430196.0000,0,64.4400,29292470.0000,3116557.0000,0,64.0100,29234239.0000,2699123.0000,0,65.0500,29178433.0000,2152945.0000,0,66.0900,29032760.0000,3213408.0000,0
65.3900,29564646.0000,2274944.0000,0,65.6100,29417434.0000,3413197.0000,0,66.0200,29355361.0000,3430196.0000,0,64.4400,29292470.0000,3116557.0000,0,64.0100,29234239.0000,2699123.0000,0,65.0500,29178433.0000,2152945.0000,0
64.8000,29619027.0000,2873782.0000,0,65.3900,29564646.0000,2274944.0000,0,65.6100,29417434.0000,3413197.0000,0,66.0200,29355361.0000,3430196.0000,0,64.4400,29292470.0000,3116557.0000,0,64.0100,29234239.0000,2699123.0000,0
64.6000,29678514.0000,3153853.0000,0,64.8000,29619027.0000,2873782.0000,0,65.3900,29564646.0000,2274944.0000,0,65.6100,29417434.0000,3413197.0000,0,66.0200,29355361.0000,3430196.0000,0,64.4400,29292470.0000,3116557.0000,0
60.0000,29739039.0000,3398299.0000,0,64.6000,29678514.0000,3153853.0000,0,64.8000,29619027.0000,2873782.0000,0,65.3900,29564646.0000,2274944.0000,0,65.6100,29417434.0000,3413197.0000,0,66.0200,29355361.0000,3430196.0000,0
61.4200,29801104.0000,3323380.0000,0,60.0000,29739039.0000,3398299.0000,0,64.6000,29678514.0000,3153853.0000,0,64.8000,29619027.0000,2873782.0000,0,65.3900,29564646.0000,2274944.0000,0,65.6100,29417434.0000,3413197.0000,0
61.5500,29942585.0000,2355655.0000,0,61.4200,29801104.0000,3323380.0000,0,60.0000,29739039.0000,3398299.0000,0,64.6000,29678514.0000,3153853.0000,0,64.8000,29619027.0000,2873782.0000,0,65.3900,29564646.0000,2274944.0000,0
57.7600,29995884.0000,3051633.0000,0,61.5500,29942585.0000,2355655.0000,0,61.4200,29801104.0000,3323380.0000,0,60.0000,29739039.0000,3398299.0000,0,64.6000,29678514.0000,3153853.0000,0,64.8000,29619027.0000,2873782.0000,0
61.1800,30083005.0000,3541663.0000,0,57.7600,29995884.0000,3051633.0000,0,61.5500,29942585.0000,2355655.0000,0,61.4200,29801104.0000,3323380.0000,0,60.0000,29739039.0000,3398299.0000,0,64.6000,29678514.0000,3153853.0000,0
58.5600,30150981.0000,3818053.0000,0,61.1800,30083005.0000,3541663.0000,0,57.7600,29995884.0000,3051633.0000,0,61.5500,29942585.0000,2355655.0000,0,61.4200,29801104.0000,3323380.0000,0,60.0000,29739039.0000,3398299.0000,0
60.9700,30228526.0000,3815398.0000,0,58.5600,30150981.0000,3818053.0000,0,61.1800,30083005.0000,3541663.0000,0,57.7600,29995884.0000,3051633.0000,0,61.5500,29942585.0000,2355655.0000,0,61.4200,29801104.0000,3323380.0000,0
61.5600,30404401.0000,2825865.0000,0,60.9700,30228526.0000,3815398.0000,0,58.5600,30150981.0000,3818053.0000,0,61.1800,30083005.0000,3541663.0000,0,57.7600,29995884.0000,3051633.0000,0,61.5500,29942585.0000,2355655.0000,0
60.5500,30465838.0000,3575881.0000,0,61.5600,30404401.0000,2825865.0000,0,60.9700,30228526.0000,3815398.0000,0,58.5600,30150981.0000,3818053.0000,0,61.1800,30083005.0000,3541663.0000,0,57.7600,29995884.0000,3051633.0000,0
59.1600,30532810.0000,4149595.0000,0,60.5500,30465838.0000,3575881.0000,0,61.5600,30404401.0000,2825865.0000,0,60.9700,30228526.0000,3815398.0000,0,58.5600,30150981.0000,3818053.0000,0,61.1800,30083005.0000,3541663.0000,0
